author_id,created_at,text
AskAmex,06_06_2022_23_04,@115807 I am so sorry to hear that. Which U.S. based card do you have? Pls do not share any personal info.
115807,06_06_2022_23_04,@AskAmex Nope. They weren’t ready to listen what I wanted to say and if I had any questions about anything else and hung up on me.
AskAmex,06_06_2022_23_04,"@115807 Hi there, I am so sorry to her that. what exactly is the issue you are having?"
115807,06_06_2022_23_04,@AskAmex Thought Amex values their customers. But boy you got really bad reps on the customer service.
McDonalds,06_06_2022_23_04,@115808 It’s getting all sorts of saucy over here this #Halloween. #TrickorTweet https://t.co/aNlYZYvL1U
115808,06_06_2022_23_04,@McDonalds Treat!
McDonalds,06_06_2022_23_04,So what’ll it be this #Halloween: a trick or a treat? Let us know below. #TrickorTweet https://t.co/xwjAZp0C2v
McDonalds,06_06_2022_23_04,"@115809 Our heart’s beating faster over here, and it’s not from all the scares. #TrickorTweet https://t.co/Wte8FLiFJ7"
115809,06_06_2022_23_04,@McDonalds Treat me!
McDonalds,06_06_2022_23_04,@115810 Chocolate chip cookies + McFlurry = everything you’ve ever been missing. #TrickorTweet https://t.co/4YfWChLNKT
115810,06_06_2022_23_04,@McDonalds Can I get uhhhhhhhhhh... treat?
YahooCare,06_06_2022_23_04,@115811 Hi - are you receiving an error message when trying to link the account?
115811,06_06_2022_23_04,"@115812 I cant Connect my Interactive Broker ( Canada) with yahoo finance App in ios 11, Any suggestions.. ??"
AskLyft,06_06_2022_23_04,"@115813 Hi there, thanks for reaching out. Please send us a DM so we can continue our conversation. https://t.co/SXpdictw1A"
115813,06_06_2022_23_04,@AskLyft I have to be at work at 2pm tomorrow. My new phone is being overnighted but it may not be there until then. I have no other ride.
UPSHelp,06_06_2022_23_04,@115814 Please let us know how we can help and DM your tracking # using this link. ^MC https://t.co/wKJHDXWGRQ
115814,06_06_2022_23_04,whats wrong w/ amazon leavin shit outside like ups...🤔
UPSHelp,06_06_2022_23_04,@115815 I'm sorry to hear that. Let us know what happened and if you have a tracking # please send that too. ^MC https://t.co/wKJHDXWGRQ
115815,06_06_2022_23_04,@115816 that small biz tyrant a dime yo. nice @115817
115816,06_06_2022_23_04,"Worth the squeeze: when you’ve got us helping you along the way, owning your own #smallbiz can be quite fruitful! https://t.co/AgBM1TRAcD"
Delta,06_06_2022_23_04,"@115818 Glad to check. Pls, DM your confirmation number for assistance.  *QB https://t.co/6iDGBJAc2m"
115818,06_06_2022_23_04,@Delta DM sent
115818,06_06_2022_23_04,@DELTA i booked my flight using delta amex card. Checking in now &amp; was being charged for baggage
McDonalds,06_06_2022_23_04,@115819 Don't forget - this Sunday is Bring Your Grandma to McDonald's Day. See you then!
115819,06_06_2022_23_04,@McDonalds My granny will be attending @ the McD’s in Heaven!  Would give anything to be able to bring her myself!
115819,06_06_2022_23_04,My grandma's laying #Poolside thanks to @McDonalds delicious New #ButtermilkCrispyTenders https://t.co/4sy9hatKTi
AmazonHelp,06_06_2022_23_04,"@115820 I'm sorry we've let you down! Without providing any personal information, will you describe the issue? We'd love to help. ^TN"
115820,06_06_2022_23_04,"@AmazonHelp 3 different people have given 3 different answers and I still don't have my order. Says delivered Saturday, was not, I was home all day"
AmazonHelp,06_06_2022_23_04,@115820 We'd like to take a further look into this with you! Please reach us by phone or chat here: https://t.co/hApLpMlfHN ^AG
115820,06_06_2022_23_04,"@AmazonHelp I frankly don't have the patience for another chat with your ""customer service"" people today."
115820,06_06_2022_23_04,Way to drop the ball on customer service @115821 so pissed right now!
AmazonHelp,06_06_2022_23_04,"@115822 I am unable to affect your account via Twitter. For real time support, phone or chat use this link: https://t.co/hApLpMlfHN ^CH"
115822,06_06_2022_23_04,@115823 I want my amazon payments account CLOSED.  dm me please.
AmazonHelp,06_06_2022_23_04,"@115824 Hi, wir erhalten die Filme/Serien so vom jeweiligen Studio. Gebe ich aber direkt als Feedback dorthin weiter. Gruß ^JS"
115824,06_06_2022_23_04,"@AmazonHelp Okay, danke für die Info"
