author_id,created_at,text
ChipotleTweets,06_06_2022_23_06,@116194 Success! -Becky
116194,06_06_2022_23_06,@ChipotleTweets got his boorito 🎃😂 https://t.co/QB4ljLjSxx
ChipotleTweets,06_06_2022_23_06,@116195 We appreciate you stopping by! -Becky
116195,06_06_2022_23_06,Happy Halloween! I broke out my KO cosplay today for @116196 and @79587 and totally not because of @ChipotleTweets . Not at all. https://t.co/CkHFv3lMtB
ChipotleTweets,06_06_2022_23_06,@116197 Truth. What's your go-to order? -Becky
116197,06_06_2022_23_06,@ChipotleTweets Barbacoa w da guac 🤤😛🔥
ChipotleTweets,06_06_2022_23_06,@116197 Mmmmm – nicely done. -Becky
116197,06_06_2022_23_06,Best part of today are these $3 burritos💀☠️ @ChipotleTweets https://t.co/vW35DKXm9c
ChipotleTweets,06_06_2022_23_06,@116198 Those are the rules. I wouldn't risk it. -Becky
116198,06_06_2022_23_06,@ChipotleTweets but do I absolutely have to be in a costume for a $3 #boorito ?!!!
ChipotleTweets,06_06_2022_23_06,@116199 Oh my goodness – I love it! Nicely done. -Becky
116200,06_06_2022_23_06,@ChipotleTweets @116199 Oh my god Becky
116199,06_06_2022_23_06,@ChipotleTweets https://t.co/iGQf79bF32
ChipotleTweets,06_06_2022_23_06,@116201 We turned off online ordering tonight for our Boorito promo. My apologies for any frustration. -Becky
116201,06_06_2022_23_06,@ChipotleTweets Your app seems to be down
ChipotleTweets,06_06_2022_23_06,@116202 Thanks for stopping by! -Becky
116202,06_06_2022_23_06,enjoying our $3 #booritos from @ChipotleTweets #HappyHalloween #boo https://t.co/xn5MRjr8Hg
ChipotleTweets,06_06_2022_23_06,"@116203 I like your style, my friend. -Becky"
116203,06_06_2022_23_06,Adult trick-or-treating for me is going to as many @ChipotleTweets as I can find for #Booritos
ChipotleTweets,06_06_2022_23_06,@116204 We look forward to seeing you! -Becky
116204,06_06_2022_23_06,BOORITO TIME! @ChipotleTweets
ChipotleTweets,06_06_2022_23_06,@116205 I'm so sorry about that. Please tell us more here: https://t.co/Ax7W1Dx3Y9 -Becky
116205,06_06_2022_23_06,@ChipotleTweets Yes hungry rutgers student ❤️
ChipotleTweets,06_06_2022_23_06,@116205 Did you come dressed in costume? -Tara
116205,06_06_2022_23_06,Bruh @ChipotleTweets u really just made me pay full price for my burrito I'm tight
ChipotleTweets,06_06_2022_23_06,@116206 I'm so sorry about that. Please provide more details here: https://t.co/Ax7W1Dx3Y9 -Becky
116206,06_06_2022_23_06,"@ChipotleTweets U guys make it really hard to give feedback. Called the store, no answer. Can't send msg on FB. What are my options?"
